id,category,label,parent_label,parent_ID,depth,degree
1,Animals & Pet Supplies,Animals & Pet Supplies,ROOT,-1,1,2
3237,Animals & Pet Supplies > Live Animals,Live Animals,Animals & Pet Supplies,1,2,0
2,Animals & Pet Supplies > Pet Supplies,Pet Supplies,Animals & Pet Supplies,1,2,46
3,Animals & Pet Supplies > Pet Supplies > Bird Supplies,Bird Supplies,Pet Supplies,2,3,7
7385,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories,Bird Cage Accessories,Bird Supplies,3,4,2
499954,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Bird Baths,Bird Cage Bird Baths,Bird Cage Accessories,7385,5,0
7386,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Food & Water Dishes,Bird Cage Food & Water Dishes,Bird Cage Accessories,7385,5,0
4989,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cages & Stands,Bird Cages & Stands,Bird Supplies,3,4,0
4990,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Food,Bird Food,Bird Supplies,3,4,0
7398,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Gyms & Playstands,Bird Gyms & Playstands,Bird Supplies,3,4,0
4991,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Ladders & Perches,Bird Ladders & Perches,Bird Supplies,3,4,0
4992,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Toys,Bird Toys,Bird Supplies,3,4,0
4993,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Treats,Bird Treats,Bird Supplies,3,4,0
4,Animals & Pet Supplies > Pet Supplies > Cat Supplies,Cat Supplies,Pet Supplies,2,3,11
5082,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Apparel,Cat Apparel,Cat Supplies,4,4,0
4433,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Cat Beds,Cat Supplies,4,4,0
3367,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food,Cat Food,Cat Supplies,4,4,2
543684,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Non-prescription Cat Food,Non-prescription Cat Food,Cat Food,3367,5,0
543683,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Prescription Cat Food,Prescription Cat Food,Cat Food,3367,5,0
4997,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture,Cat Furniture,Cat Supplies,4,4,0
500059,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture Accessories,Cat Furniture Accessories,Cat Supplies,4,4,0
4999,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter,Cat Litter,Cat Supplies,4,4,0
8069,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Liners,Cat Litter Box Liners,Cat Supplies,4,4,0
7142,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Mats,Cat Litter Box Mats,Cat Supplies,4,4,0
