id,label,categoryName,parent_id,degree,depth
-1,,ROOT,,37.0,0
1334134,Arts, Crafts & Sewing,Arts, Crafts & Sewing,-1,30.0,1
1334134_1926928,Arts, Crafts & Sewing>Adult Coloring Books,Adult Coloring Books,1334134,0.0,2
1334134_5899871,Arts, Crafts & Sewing>Art Supplies,Art Supplies,1334134,17.0,2
1334134_5899871_8844202,Arts, Crafts & Sewing>Art Supplies>Adult Coloring Books,Adult Coloring Books,1334134_5899871,0.0,3
1334134_5899871_4519281,Arts, Crafts & Sewing>Art Supplies>Aprons,Aprons,1334134_5899871,0.0,3
1334134_5899871_9862357,Arts, Crafts & Sewing>Art Supplies>Art & Drawing Markers,Art & Drawing Markers,1334134_5899871,0.0,3
1334134_5899871_4463855,Arts, Crafts & Sewing>Art Supplies>Art & Drawing Pens,Art & Drawing Pens,1334134_5899871,0.0,3
1334134_5899871_8783992,Arts, Crafts & Sewing>Art Supplies>Art Easels,Art Easels,1334134_5899871,0.0,3
1334134_5899871_9677556,Arts, Crafts & Sewing>Art Supplies>Art Paper,Art Paper,1334134_5899871,0.0,3
1334134_5899871_7148292,Arts, Crafts & Sewing>Art Supplies>Art Sets,Art Sets,1334134_5899871,0.0,3
1334134_5899871_2065656,Arts, Crafts & Sewing>Art Supplies>Art Tool Cleaners,Art Tool Cleaners,1334134_5899871,0.0,3
1334134_5899871_8268066,Arts, Crafts & Sewing>Art Supplies>Art, Drawing & Sidewalk Chalk,Art, Drawing & Sidewalk Chalk,1334134_5899871,0.0,3
1334134_5899871_8703361,Arts, Crafts & Sewing>Art Supplies>Art, Drawing & Sketching Pencils,Art, Drawing & Sketching Pencils,1334134_5899871,0.0,3
1334134_5899871_6153803,Arts, Crafts & Sewing>Art Supplies>Boards & Canvas,Boards & Canvas,1334134_5899871,0.0,3
1334134_5899871_6883794,Arts Crafts & Sewing>Art Supplies>Ceramics, Molding & Sculpting,Ceramics, Molding & Sculpting,1334134_5899871,0.0,3
1334134_5899871_8160590,Arts, Crafts & Sewing>Art Supplies>Children's Coloring Books,Children's Coloring Books,1334134_5899871,0.0,3
1334134_5899871_3074056,Arts, Crafts & Sewing>Art Supplies>Crayons,Crayons,1334134_5899871,0.0,3
1334134_5899871_1350721,Arts, Crafts & Sewing>Art Supplies>Drawing & Illustration,Drawing & Illustration,1334134_5899871,0.0,3
1334134_5899871_7445675,Arts, Crafts & Sewing>Art Supplies>Painting,Painting,1334134_5899871,0.0,3
1334134_5899871_2411642,Arts, Crafts & Sewing>Art Supplies>Pastels,Pastels,1334134_5899871,0.0,3
1334134_4533160,Arts, Crafts & Sewing>Beading & Jewelry Making,Beading & Jewelry Making,1334134,13.0,2
1334134_4533160_6262436,Arts Crafts & Sewing>Beading & Jewelry Making>All Beading and Jewelry Making,All Beading and Jewelry Making,1334134_4533160,0.0,3
1334134_4533160_6862723,Arts, Crafts & Sewing>Beading & Jewelry Making>Beading Findings and Components,Beading Findings and Components,1334134_4533160,0.0,3
1334134_4533160_9799323,Arts, Crafts & Sewing>Beading & Jewelry Making>Beading Supplies,Beading Supplies,1334134_4533160,0.0,3
1334134_4533160_3653829,Arts, Crafts & Sewing>Beading & Jewelry Making>Beading Tools,Beading Tools,1334134_4533160,0.0,3
1334134_4533160_1043543,Arts, Crafts & Sewing>Beading & Jewelry Making>Beads,Beads,1334134_4533160,0.0,3
1334134_4533160_1548006,Arts, Crafts & Sewing>Beading & Jewelry Making>Jewelry Casting Supplies,Jewelry Casting Supplies,1334134_4533160,0.0,3
1334134_4533160_8934268,Arts, Crafts & Sewing>Beading & Jewelry Making>Jewelry Cords and Threads,Jewelry Cords and Threads,1334134_4533160,0.0,3
1334134_4533160_5046053,Arts, Crafts & Sewing>Beading & Jewelry Making>Jewelry Findings,Jewelry Findings,1334134_4533160,0.0,3
1334134_4533160_1533194,Arts Crafts & Sewing>Beading & Jewelry Making>Jewelry Making Books and Patterns,Jewelry Making Books and Patterns,1334134_4533160,0.0,3
1334134_4533160_4974817,Arts, Crafts & Sewing>Beading & Jewelry Making>Jewelry Making Kits,Jewelry Making Kits,1334134_4533160,0.0,3
1334134_4533160_7963469,Arts, Crafts & Sewing>Beading & Jewelry Making>Jewelry Making Tools,Jewelry Making Tools,1334134_4533160,0.0,3
1334134_4533160_1930838,Arts, Crafts & Sewing>Beading & Jewelry Making>Pendants and Charms,Pendants and Charms,1334134_4533160,0.0,3
1334134_4533160_7168113,Arts, Crafts & Sewing>Beading & Jewelry Making>Rhinestones,Rhinestones,1334134_4533160,0.0,3
1334134_4665549,Arts, Crafts & Sewing>Bernat,Bernat,1334134,0.0,2
1334134_2022582,Arts Crafts & Sewing>Brother,Brother,1334134,3.0,2
1334134_2022582_6995319,Arts, Crafts & Sewing>Brother>Brother,Brother,1334134_2022582,0.0,3
1334134_2022582_4330459,Arts Crafts & Sewing>Brother>Brother Cutting Machines,Brother Cutting Machines,1334134_2022582,0.0,3
